data,fechamento,abertura,max,min,variacao
2024-11-22,129.126,126.944,129.126,126.944,1.74
2024-11-25,129.036,129.125,129.495,128.932,-0.07
2024-11-26,129.922,129.043,130.361,129.042,0.69
2024-11-27,127.669,129.923,130.283,127.669,-1.73
2024-11-28,124.61,127.667,127.668,124.39,-2.4
2024-11-29,125.668,124.611,126.056,123.946,0.85
2024-12-02,125.236,125.668,125.901,124.734,-0.34
2024-12-03,126.139,125.235,126.417,125.233,0.72
2024-12-04,126.087,126.139,126.72,125.828,-0.04
2024-12-05,127.858,126.088,127.989,126.087,1.4
2024-12-06,125.946,127.856,127.872,125.833,-1.5
2024-12-09,127.21,125.946,127.542,125.946,1.0
2024-12-10,128.228,127.213,128.511,127.213,0.8
2024-12-11,129.593,128.228,130.899,127.362,1.06
2024-12-12,126.042,129.587,129.587,125.829,-2.74
2024-12-13,124.612,126.102,126.29,124.578,-1.13
2024-12-16,123.56,124.61,124.956,123.495,-0.84
2024-12-17,124.698,123.56,125.301,123.56,0.92
2024-12-18,120.772,124.699,124.699,120.457,-3.15
2024-12-19,121.188,120.768,121.77,120.768,0.34
2024-12-20,122.102,121.183,122.209,120.7,0.75
2024-12-23,120.767,122.105,122.105,120.617,-1.09
2024-12-26,121.078,120.767,121.612,120.428,0.26
2024-12-27,120.269,121.078,121.609,120.252,-0.67
2024-12-30,120.283,120.267,121.05,120.158,0.01
2025-01-02,120.125,120.283,120.782,119.12,-0.13
2025-01-03,118.533,120.125,120.356,118.404,-1.33
2025-01-06,120.022,118.534,120.322,118.534,1.26
2025-01-07,121.163,120.022,121.713,120.022,0.95
2025-01-08,119.625,121.16,121.16,119.351,-1.27
2025-01-09,119.781,119.625,120.145,119.502,0.13
2025-01-10,118.856,119.781,120.052,118.732,-0.77
2025-01-13,119.007,118.856,119.729,118.743,0.13
2025-01-14,119.299,119.007,119.451,118.223,0.25
2025-01-15,122.65,119.309,122.988,119.303,2.81
2025-01-16,121.234,122.649,122.66,120.796,-1.15
2025-01-17,122.35,121.258,122.674,121.074,0.92
2025-01-20,122.855,122.349,123.172,121.511,0.41
2025-01-21,123.338,122.85,123.462,122.29,0.39
2025-01-22,122.972,123.345,123.865,122.926,-0.3
2025-01-23,122.483,122.965,123.958,122.159,-0.4
2025-01-24,122.447,122.483,122.908,122.196,-0.03
2025-01-27,124.862,122.443,124.862,122.207,1.97
2025-01-28,124.056,124.861,124.881,123.973,-0.65
